,iso_code,country,2021_population,2020_population,area_km_sq,density_km_sq,growth_rate_%,world_%,rank,Latitude,Longitude
146,SVN,Slovenia,2078724,2078938,20273,103,-0.01,0.03,149,46.1199444,14.8153333
147,GNB,Guinea Bissau,2043512,1968001,36125,56,2.41,0.03,150,11.815215,-15.2351044
148,LVA,Latvia,1855735,1886198,64559,29,-1.02,0.02,151,56.8406494,24.7537645
149,BHR,Bahrain,1775452,1701575,765,2,2.75,0.02,152,26.1551249,50.5344606
150,GNQ,Equatorial Guinea,1477483,1402985,28051,52,3.34,0.02,153,1.613172,10.5170357
151,TTO,Trinidad And Tobago,1405746,1399488,5130,274,0.28,0.02,154,10.7466905,-61.0840075
152,TLS,Timor Leste,1358744,1318445,14874,90,1.93,0.02,155,-8.7443169,126.063482
153,EST,Estonia,1324323,1326535,45227,29,-0.1,0.02,156,58.7523778,25.3319078
154,MUS,Mauritius,1274295,1271768,2040,624,0.13,0.02,157,-20.2759451,57.5703566
155,CYP,Cyprus,1220541,1207359,9251,131,0.68,0.02,158,34.9823018,33.1451285
156,DJI,Djibouti,1010377,988000,23200,43,1.44,0.01,160,11.8145966,42.8453061
157,FJI,Fiji,906570,896445,18272,49,0.72,0.01,161,-18.1239696,179.0122737
158,RU,Reunion,905350,895312,2511,359,0.71,0.01,162,-21.130737949999997,55.536480112992315
159,COM,Comoros,899658,869601,1862,477,2.17,0.01,163,-12.2045176,44.2832964
160,GUY,Guyana,792481,786552,214969,4,0.48,0.01,164,4.8417097,-58.6416891
161,BTN,Bhutan,784855,771608,38394,20,1.07,0.01,165,27.549511,90.5119273
162,SLB,Solomon Islands,714126,686884,28896,24,2.49,0.01,166,-8.7053941,159.1070693851845
163,MAC,Macau,663998,649335,30,21,1.4,0.01,167,22.1899448,113.5380454
164,LUX,Luxembourg,640202,625978,2586,245,1.41,0.01,168,49.8158683,6.1296751
165,MNE,Montenegro,628053,628066,13812,45,-0.0,0.01,169,42.9868853,19.5180992
166,ESH,Western Sahara,620280,597339,266000,2,2.43,0.01,170,24.16819605,-13.892143025000001
167,SUR,Suriname,594817,586632,163820,4,0.88,0.01,171,4.1413025,-56.0771187
168,CPV,Cape Verde,565346,555987,4033,139,1.06,0.01,172,16.0000552,-24.0083947
169,MDV,Maldives,546203,540544,300,1,0.57,0.01,173,3.7203503,73.2244152
170,MLT,Malta,443646,441543,316,1,0.28,0.01,174,35.8885993,14.4476911
171,BRN,Brunei,443903,437479,5765,77,0.93,0.01,175,4.4137155,114.5653908
172,BLZ,Belize,409224,397628,22966,18,1.83,0.01,176,16.8259793,-88.7600927
173,BHS,Bahamas,399068,393244,13943,28,0.93,0.01,178,24.7736546,-78.0000547
174,MTQ,Martinique,374314,375265,1128,332,-0.14,0.0,179,14.6367927,-61.01582685063731
175,ISL,Iceland,344646,341243,103000,3,0.62,0.0,180,64.9841821,-18.1059013
176,VUT,Vanuatu,318774,307145,12189,26,2.38,0.0,181,-16.5255069,168.1069154
177,NCL,New Caledonia,289727,285498,18575,16,0.95,0.0,183,-21.3019905,165.4880773
178,BRB,Barbados,287927,287375,430,669,0.12,0.0,184,13.1500331,-59.5250305
179,PYF,French Polynesia,283392,280908,4167,68,0.58,0.0,185,-17.0243749,-144.6434898
180,MYT,Mayotte,283394,272815,374,747,2.46,0.0,186,-12.825543,45.148490830203045
181,STP,Sao Tome And Principe,225954,219159,964,232,1.92,0.0,187,0.9713095,7.02255
182,WSM,Samoa,201011,198414,2842,70,0.87,0.0,188,-13.7693895,-172.12005
183,LCA,Saint Lucia,184831,183627,616,299,0.42,0.0,189,13.8250489,-60.975036
184,GUM,Guam,171041,168775,549,310,0.83,0.0,190,13.450125700000001,144.75755102972062
185,CUW,Curacao,165229,164093,444,371,0.43,0.0,191,12.21339425,-69.0408499890865
186,KIR,Kiribati,122470,119449,811,150,1.63,0.0,192,0.3448612,173.6641773
187,FSM,Micronesia,116901,115023,702,166,1.07,0.0,193,8.6062347,151.832744331612
188,GRD,Grenada,113237,112523,344,329,0.44,0.0,194,12.1360374,-61.6904045
189,ABW,Aruba,107204,106766,180,596,0.41,0.0,196,12.51756625,-69.98186415210564
190,TON,Tonga,107407,105695,747,143,1.01,0.0,197,-19.9160819,-175.202642
191,VIR,United States Virgin Islands,104010,104425,347,300,-0.19,0.0,198,17.789187,-64.7080574
192,SYC,Seychelles,99124,98347,452,219,0.57,0.0,199,-4.6574977,55.4540146
193,ATG,Antigua And Barbuda,99162,97929,442,223,0.82,0.0,200,17.2234721,-61.9554608
194,AND,Andorra,77355,77265,468,165,0.12,0.0,202,42.5407167,1.5732033
195,DMA,Dominica,72167,71986,751,96,0.25,0.0,203,19.0974031,-70.3028026
196,CYM,Cayman Islands,66497,65722,264,252,1.18,0.0,204,19.703182249999998,-79.9174627243246
197,BMU,Bermuda,62090,62278,54,1,-0.3,0.0,205,32.30382,-64.7561647
198,MHL,Marshall Islands,59610,59190,181,329,0.71,0.0,206,8.9995549,168.0002575
199,MNP,Northern Mariana Islands,57917,57559,464,125,0.62,0.0,207,15.1753648,145.7379338
200,GRL,Greenland,56877,56770,2166086,0,0.19,0.0,208,77.6192349,-42.8125967
201,ASM,American Samoa,55100,55191,199,277,-0.16,0.0,209,-14.297124,-170.7131481
202,KNA,Saint Kitts And Nevis,53544,53199,261,205,0.65,0.0,210,17.250512,-62.6725973
203,FRO,Faroe Islands,49049,48863,1393,35,0.38,0.0,211,62.0448724,-7.0322972
204,MAF,Sint Maarten,43412,42876,34,1,1.25,0.0,212,18.0423736,-63.0549948
205,MCO,Monaco,39511,39242,2,19,0.69,0.0,213,43.7323492,7.4276832
206,MAF,Saint Martin,39234,38666,53,740,1.47,0.0,214,18.0814066,-63.0467131
207,TCA,Turks And Caicos Islands,39231,38717,948,41,1.33,0.0,215,21.721746,-71.5527809
208,LIE,Liechtenstein,38250,38128,160,239,0.32,0.0,216,47.1416307,9.5531527
209,SMR,San Marino,34017,33931,61,558,0.25,0.0,217,43.9458623,12.458306
210,GIB,Gibraltar,33698,33691,6,5,0.02,0.0,218,36.1285933,-5.3474761
211,PLW,Palau,18169,18094,459,40,0.41,0.0,220,5.3783537,132.9102573
212,COK,Cook Islands,17565,17564,236,74,0.01,0.0,221,-19.99697155,-157.78587140620786
213,AIA,Anguilla,15117,15003,91,166,0.76,0.0,222,18.1954947,-63.0750234
214,TUV,Tuvalu,11931,11792,26,459,1.18,0.0,223,-8.6405212,179.1582918181797
215,WLF,Wallis And Futuna,11094,11239,142,78,-1.29,0.0,224,-13.289402,-176.204224
216,NRU,Nauru,10876,10824,21,518,0.48,0.0,225,-0.5252306,166.9324426
217,BL,Saint Barthelemy,9907,9877,21,472,0.3,0.0,226,17.9036287,-62.81152921501989
218,SPM,Saint Pierre And Miquelon,5766,5794,242,24,-0.48,0.0,227,46.783246899999995,-56.195158907484085
219,MSR,Montserrat,4977,4992,102,49,-0.3,0.0,228,16.7417041,-62.1916844
220,FLK,Falkland Islands,3533,3480,12173,0,1.52,0.0,229,-51.9492937,-59.5383657
221,NIU,Niue,1619,1626,260,6,-0.43,0.0,230,-19.0536414,-169.861341
222,TKL,Tokelau,1373,1357,12,114,1.18,0.0,231,-9.1676396,-171.819687
223,VAT,Vatican City,800,801,1,800,-0.12,0.0,232,41.903411,12.4528527
